File Name,LOC,LLOC,SLOC,Comments,Cyclomatic Complexity,Maintainability Index,h1,h2,h,N1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
66.py,2,2,2,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
64.py,6,6,6,0,4,69.38956519091703,5,10,15,7,12,19,15,74.23092131656186,3.0,222.69276394968557,0.024743640438853954,12.371820219426976
34.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
120.py,2,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
46.py,9,9,9,0,4,65.87782461893471,3,10,13,6,12,18,13,66.60791492653966,1.8,119.8942468677714,0.022202638308846556,6.660791492653967
2.py,10,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6.py,12,11,11,0,2,67.19348922601542,3,4,7,3,6,9,7,25.26619429851844,2.25,56.848937171666485,0.008422064766172813,3.158274287314805
133.py,2,2,2,0,2,88.42299174457497,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
15.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
48.py,13,4,2,0,1,50.35217716849601,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
81.py,30,30,30,0,14,50.85382836650843,2,13,15,12,24,36,15,140.64806144190666,1.8461538461538463,259.65795958505845,0.04688268714730222,14.425442199169915
20.py,23,11,10,5,3,90.0749649676394,2,6,8,4,8,12,8,36.0,1.3333333333333333,48.0,0.012,2.6666666666666665
43.py,13,11,10,0,4,94.36587167112974,2,3,5,3,5,8,5,18.575424759098897,1.6666666666666667,30.95904126516483,0.006191808253032966,1.7199467369536017
55.py,5,5,5,0,2,73.5864370401145,3,5,8,4,8,12,8,36.0,2.4,86.39999999999999,0.012,4.8
89.py,12,3,2,0,2,47.96077892150797,4,9,13,5,10,15,13,55.506595772116384,2.2222222222222223,123.34799060470309,0.01850219859070546,6.852666144705727
27.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
57.py,2,2,2,0,2,83.34373431037945,2,5,7,3,6,9,7,25.26619429851844,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624
96.py,11,11,11,0,5,64.49306775579564,4,8,12,5,10,15,12,53.77443751081735,2.5,134.43609377704337,0.017924812503605784,7.468671876502409
143.py,16,14,14,0,7,62.18226189255759,4,7,11,5,10,15,11,51.89147427955947,2.857142857142857,148.26135508445563,0.01729715809318649,8.236741949136423
129.py,23,23,23,0,10,53.09306528613369,6,11,17,15,30,45,17,183.9358278562653,8.181818181818182,1504.9295006421705,0.0613119426187551,83.60719448012058
32.py,25,11,10,3,2,88.53310926549291,5,11,16,9,17,26,16,104.0,3.8636363636363638,401.8181818181818,0.034666666666666665,22.32323232323232
88.py,14,4,2,0,2,50.45942230308778,2,4,6,3,4,7,6,18.094737505048094,1.0,18.094737505048094,0.006031579168349364,1.0052631947248942
127.py,40,17,14,3,7,78.95474257236485,8,14,22,8,16,24,22,107.02635884729514,4.571428571428571,489.26335473049204,0.03567545294909838,27.181297485027336
83.py,2,2,2,0,1,83.10886938201016,3,6,9,3,6,9,9,28.529325012980813,1.5,42.793987519471216,0.009509775004326938,2.377443751081734
98.py,2,2,2,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
8.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
62.py,2,3,2,0,2,84.58174335197131,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
37.py,5,7,5,0,3,72.82491762469213,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
84.py,2,3,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
139.py,5,5,5,0,2,74.66308527157166,3,4,7,3,6,9,7,25.26619429851844,2.25,56.848937171666485,0.008422064766172813,3.158274287314805
110.py,4,4,4,0,4,75.69601873112987,3,5,8,4,7,11,8,33.0,2.1,69.3,0.011,3.8499999999999996
146.py,6,6,6,0,5,68.22238154806871,6,12,18,8,17,25,18,104.2481250360578,4.25,443.0545314032457,0.03474937501201927,24.61414063351365
75.py,9,9,9,0,7,65.1019622798053,3,9,12,7,14,21,12,75.28421251514429,2.3333333333333335,175.66316253533668,0.025094737505048096,9.759064585296482
36.py,7,7,7,0,5,66.94688219394216,5,12,17,8,16,24,17,98.09910819000817,3.3333333333333335,326.99702730002724,0.03269970273000272,18.16650151666818
102.py,18,9,8,4,4,93.20605535737444,5,6,11,7,12,19,11,65.72920075410866,5.0,328.6460037705433,0.021909733584702887,18.25811132058574
21.py,9,5,4,0,2,96.13986613999147,2,5,7,3,6,9,7,25.26619429851844,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624
121.py,2,2,2,0,4,80.77781576413629,3,9,12,5,10,15,12,53.77443751081735,1.6666666666666667,89.62406251802892,0.017924812503605784,4.9791145843349405
149.py,2,2,2,0,3,84.69319837885878,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
38.py,9,7,6,0,4,96.86677415437148,4,9,13,7,14,21,13,77.70923408096293,3.111111111111111,241.762061585218,0.025903078026987644,13.431225643623222
